source,reference,method,dataset,label_setup,validation,accuracy,macro_f1,notes,micro_f1
literature,Li et al. 2018 (STSTNet),3D-CNN multi-stream,CASME-II,individual emotions,LOSO,0.63,,Update from client Papers folder,
literature,Vivian et al. 2019 (ME recognition survey),hand-crafted + CNN,CASME-II,3-class grouped,LOSO,0.58,,Illustrative — verify against paper,
literature,Example Transformer MER,CNN + Transformer,CASME-II,3-class grouped,LOSO,0.65,,Replace with exact paper client shares,
literature,Target dissertation goal,proposed unified pipeline,CASME-II,3-class grouped,LOSO,0.7,0.68,Client target for final project phase,
this_project,config_1_pure_base__no_evm__no_simam__no_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.543,0.313,Generated by MER_Client_GPU,0.4615
this_project,config_2_temporal_only__no_evm__no_simam__no_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.8711,0.4849,Generated by MER_Client_GPU,0.7436
this_project,config_3_spatial_only__no_evm__no_simam__WITH_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.4283,0.27,Generated by MER_Client_GPU,0.4167
this_project,config_9_permutation__no_evm__no_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.8058,0.3603,Generated by MER_Client_GPU,0.7308
this_project,config_5_attention_base__no_evm__WITH_simam__WITH_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.4331,0.2672,Generated by MER_Client_GPU,0.4231
this_project,config_6_full_stage2_noevm__no_evm__WITH_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.8068,0.3414,Generated by MER_Client_GPU,0.7308
this_project,config_4_motion_amp_base__WITH_evm__no_simam__no_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.5064,0.3109,Generated by MER_Client_GPU,0.4808
this_project,config_12_permutation__WITH_evm__no_simam__no_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.8028,0.4527,Generated by MER_Client_GPU,0.6795
this_project,config_13_permutation__WITH_evm__no_simam__WITH_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.4819,0.2796,Generated by MER_Client_GPU,0.4359
this_project,config_7_full_no_attention__WITH_evm__no_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.8055,0.3731,Generated by MER_Client_GPU,0.7051
this_project,config_16_permutation__WITH_evm__WITH_simam__WITH_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.4671,0.2655,Generated by MER_Client_GPU,0.4038
this_project,config_8_proposed_unified__WITH_evm__WITH_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.813,0.3917,Generated by MER_Client_GPU,0.75
