config_name,use_evm,use_simam,use_cnn,use_transformer,label_mode,protocol,epochs,accuracy,macro_f1,micro_f1,num_samples
config_1_pure_base__no_evm__no_simam__no_3dcnn__no_transformer,False,False,False,False,grouped,loso,,0.2400,0.1380,0.2083,24
config_2_temporal_only__no_evm__no_simam__no_3dcnn__WITH_transformer,False,False,False,True,grouped,loso,,0.9433,0.4558,0.9167,24
config_3_spatial_only__no_evm__no_simam__WITH_3dcnn__no_transformer,False,False,True,False,grouped,loso,,0.2833,0.1444,0.1667,24
config_9_permutation__no_evm__no_simam__WITH_3dcnn__WITH_transformer,False,False,True,True,grouped,loso,,0.3000,0.1667,0.2083,24
config_5_attention_base__no_evm__WITH_simam__WITH_3dcnn__no_transformer,False,True,True,False,grouped,loso,,0.2833,0.1444,0.1667,24
config_6_full_stage2_noevm__no_evm__WITH_simam__WITH_3dcnn__WITH_transformer,False,True,True,True,grouped,loso,,0.3000,0.1205,0.2083,24
config_4_motion_amp_base__WITH_evm__no_simam__no_3dcnn__no_transformer,True,False,False,False,grouped,loso,,0.4067,0.2470,0.4167,24
config_12_permutation__WITH_evm__no_simam__no_3dcnn__WITH_transformer,True,False,False,True,grouped,loso,,0.7133,0.3285,0.7083,24
config_13_permutation__WITH_evm__no_simam__WITH_3dcnn__no_transformer,True,False,True,False,grouped,loso,,0.2833,0.1667,0.1667,24
config_7_full_no_attention__WITH_evm__no_simam__WITH_3dcnn__WITH_transformer,True,False,True,True,grouped,loso,,0.2833,0.1333,0.1667,24
config_16_permutation__WITH_evm__WITH_simam__WITH_3dcnn__no_transformer,True,True,True,False,grouped,loso,,0.2833,0.1667,0.1667,24
config_8_proposed_unified__WITH_evm__WITH_simam__WITH_3dcnn__WITH_transformer,True,True,True,True,grouped,loso,,0.3000,0.1333,0.2083,24
