surface_form	count	first_file	first_line
(Yan et al., 2014)	4	01_3.1_CASME-II_Corpus.md	11
Yan et al. (2014)	15	01_3.1_CASME-II_Corpus.md	13
(2014)	15	01_3.1_CASME-II_Corpus.md	13
(Shreve et al., 2011)	3	01_3.1_CASME-II_Corpus.md	17
(Li et al., 2013)	6	01_3.1_CASME-II_Corpus.md	19
(Yan et al., 2013)	1	01_3.1_CASME-II_Corpus.md	20
Yan et al. (2014, Table 1)	2	01_3.1_CASME-II_Corpus.md	22
(2014, Table 1)	2	01_3.1_CASME-II_Corpus.md	22
Li et al. (2013)	3	01_3.1_CASME-II_Corpus.md	26
(2013)	3	01_3.1_CASME-II_Corpus.md	26
Yan et al. (2014, Table 3)	1	01_3.1_CASME-II_Corpus.md	64
(2014, Table 3)	1	01_3.1_CASME-II_Corpus.md	64
(MEGC 2019; See et al., 2019)	1	01_3.1_CASME-II_Corpus.md	85
(See et al., 2019, Table III)	1	01_3.1_CASME-II_Corpus.md	102
(LBP-TOP; Zhao & Pietikäinen, 2007)	1	01_3.1_CASME-II_Corpus.md	112
Li et al. (2018)	14	01_3.1_CASME-II_Corpus.md	122
(2018)	17	01_3.1_CASME-II_Corpus.md	122
Davison et al. (2018)	2	01_3.1_CASME-II_Corpus.md	134
(Davison et al., 2018)	1	01_3.1_CASME-II_Corpus.md	134
(Qu et al., 2016)	2	01_3.1_CASME-II_Corpus.md	136
Davison et al. (2018, Table 1)	1	01_3.1_CASME-II_Corpus.md	149
Qu et al. (2016)	1	01_3.1_CASME-II_Corpus.md	149
(2018, Table 1)	1	01_3.1_CASME-II_Corpus.md	149
(2016)	9	01_3.1_CASME-II_Corpus.md	149
(See et al., 2019)	5	01_3.1_CASME-II_Corpus.md	157
(Zhao & Pietikäinen, 2007)	1	01_3.1_CASME-II_Corpus.md	175
(Liong et al., 2018)	1	01_3.1_CASME-II_Corpus.md	176
(Liong et al., 2019a)	3	01_3.1_CASME-II_Corpus.md	177
Liong et al. (2019b)	6	01_3.1_CASME-II_Corpus.md	180
(2019b)	6	01_3.1_CASME-II_Corpus.md	180
Liu et al. (2019)	1	01_3.1_CASME-II_Corpus.md	181
(2019)	4	01_3.1_CASME-II_Corpus.md	181
See et al. (2019, Table IV)	1	01_3.1_CASME-II_Corpus.md	183
(2019, Table IV)	1	01_3.1_CASME-II_Corpus.md	183
Xia et al. (2020b)	7	01_3.1_CASME-II_Corpus.md	229
(Yang et al., 2021)	6	01_3.1_CASME-II_Corpus.md	229
(2020b)	7	01_3.1_CASME-II_Corpus.md	229
Bai et al. (2021)	8	02_3.2_Eulerian_Video_Magnification.md	5
Huang and Zhao (2018, 2021)	3	02_3.2_Eulerian_Video_Magnification.md	5
(2021)	31	02_3.2_Eulerian_Video_Magnification.md	5
(2018, 2021)	3	02_3.2_Eulerian_Video_Magnification.md	5
Li et al. (2018, Table 6)	1	02_3.2_Eulerian_Video_Magnification.md	51
(2018, Table 6)	1	02_3.2_Eulerian_Video_Magnification.md	51
Huang and Zhao (2018)	1	02_3.2_Eulerian_Video_Magnification.md	65
Huang and Zhao (2021)	1	02_3.2_Eulerian_Video_Magnification.md	67
(Li et al., 2018)	3	02_3.2_Eulerian_Video_Magnification.md	83
(Li, Huang & Zhao, 2018, 2021)	1	02_3.2_Eulerian_Video_Magnification.md	83
(reported by Bai et al., 2021)	1	02_3.2_Eulerian_Video_Magnification.md	107
(Bai et al., 2021)	1	02_3.2_Eulerian_Video_Magnification.md	109
Liong et al. (2019a, 2019b)	2	03_3.3_Optical_Flow.md	5
Xu et al. (2017)	5	03_3.3_Optical_Flow.md	5
Zhao et al. (2021)	9	03_3.3_Optical_Flow.md	5
(2019a, 2019b)	2	03_3.3_Optical_Flow.md	5
(2017)	5	03_3.3_Optical_Flow.md	5
Liong et al. (2019a)	8	03_3.3_Optical_Flow.md	23
(2019a)	8	03_3.3_Optical_Flow.md	23
(Xu et al., 2017)	2	03_3.3_Optical_Flow.md	89
(Zhao et al., 2021)	4	03_3.3_Optical_Flow.md	91
(Liong et al., 2019a, 2019b)	1	03_3.3_Optical_Flow.md	92
(Xu et al., 2016)	1	03_3.3_Optical_Flow.md	104
Shreve et al. (2011)	7	04_3.4_Optical_Strain.md	5
(2011)	8	04_3.4_Optical_Strain.md	5
Liong et al. (2014a)	8	04_3.4_Optical_Strain.md	29
(2014a)	8	04_3.4_Optical_Strain.md	29
Liong et al. (2014b)	2	04_3.4_Optical_Strain.md	31
(2014b)	2	04_3.4_Optical_Strain.md	31
Liong et al. (2014a, 2014b, 2016)	2	04_3.4_Optical_Strain.md	47
(Liong et al., 2019b)	6	04_3.4_Optical_Strain.md	47
(2014a, 2014b, 2016)	2	04_3.4_Optical_Strain.md	47
Liong et al. (2016)	8	04_3.4_Optical_Strain.md	55
Liong et al. (2014a, 2014b)	1	04_3.4_Optical_Strain.md	57
(2014a, 2014b)	1	04_3.4_Optical_Strain.md	57
Liong et al. (2016, Table 8)	1	04_3.4_Optical_Strain.md	80
(2016, Table 8)	1	04_3.4_Optical_Strain.md	80
(Shreve et al., 2011; Liong et al., 2014a)	1	04_3.4_Optical_Strain.md	114
(implicit in the max-normalisation of Liong et al., 2016)	1	04_3.4_Optical_Strain.md	116
(Liong et al., 2014a, 2014b, 2016; Liong et al., 2019b)	1	04_3.4_Optical_Strain.md	117
(Liong et al., 2014a, 2016)	1	04_3.4_Optical_Strain.md	118
(Liong et al., 2016)	1	04_3.4_Optical_Strain.md	119
